index,term,prof_rating,requirements_met0,requirements_met1,requirements_met2,requirements_met3,title,registered,description,course_id,end_time,faculty,department,credits,start_time,size
376,18WI,,Arts Practice,,,,Ethnic+Drumming+Instruction+(Juried),0,"Ethnic drumming instruction in various ethnic drumming styles including West African (Ghanaian instruments), Cuban (congas), North Indian (tabla) and Middle Eastern (dumbek). Equipment available for registered students.",MUSC+183J.00,n/a,Jay L Johnson,MUSC,1 credit,n/a,50
377,18WI,,Arts Practice,,,,American+Folk+Instruments,5,"Beginning to advanced study of technique and improvisational styles on American folk instruments. Students may study 5-string banjo (bluegrass or clawhammer style), bluegrass guitar, Dobro©, fiddle (violin, viola, cello), bass, ukulele, mandolin, mandola or mandocello. The Music Department has a single mandolin, fiddle, banjo, and guitar (and two ukuleles) available for shared use by enrolled students unable to provide their own instruments.",MUSC+184.00,n/a,Mark  Kreitzer,MUSC,"1 credit, S/CR/NC only",n/a,50
378,18WI,,Arts Practice,,,,American+Folk+Instruments+(Juried),0,"Beginning to advanced study of technique and improvisational styles on American folk instruments. Students may study 5-string banjo (bluegrass or clawhammer style), bluegrass guitar, Dobro©, fiddle (violin, viola, cello), bass, ukulele, mandolin, mandola or mandocello. The Music Department has a single mandolin, fiddle, banjo, and guitar (and two ukuleles) available for shared use by enrolled students unable to provide their ow",MUSC+184J.00,n/a,Mark  Kreitzer,MUSC,1 credit,n/a,50
379,18WI,,Arts Practice,,,,Class+Guitar,8,"An introduction to classical and folk guitar: styles, chords and music notation for persons with little or no previous music instruction. Special fee: $88. Not to be taken concurrently with Music 152 or 252 (Guitar).",MUSC+197.00,3:00pm,Mark  Kreitzer,MUSC,"1 credit, S/CR/NC only",1:50pm,30
380,18WI,,Arts Practice,,,,Fundamentals+of+African+Drumming,5,Class instruction in basic techniques of African drumming. No musical training or experience is necessary. Special fee: $88.,MUSC+199.00,7:30pm,Jay L Johnson,MUSC,"1 credit, S/CR/NC only",6:31pm,15
381,18WI,,Arts Practice,,,,Piano,0,"Applied study on the instrument, with attention to both musical and technical development. Students will study appropriate works from the Baroque, Classical, Romantic, and Modern periods, with special reference to a composer's individual notation, technical challenges and stylistic interpretation. Music 250 is intended for the advanced piano student: permission of instructor is required.",MUSC+250.00,n/a,"Staff, Nikki Melville",MUSC,"2 credits, S/CR/NC only",n/a,50
382,18WI,,Arts Practice,,,,Piano,0,"Applied study on the instrument, with attention to both musical and technical development. Students will study appropriate works from the Baroque, Classical, Romantic, and Modern periods, with special reference to a composer's individual notation, technical challenges and stylistic interpretation. Music 250 is intended for the advanced piano student: permission of instructor is required.",MUSC+250.01,n/a,Nikki Melville,MUSC,"2 credits, S/CR/NC only",n/a,50
383,18WI,,Arts Practice,,,,Piano,1,"Applied study on the instrument, with attention to both musical and technical development. Students will study appropriate works from the Baroque, Classical, Romantic, and Modern periods, with special reference to a composer's individual notation, technical challenges and stylistic interpretation. Music 250 is intended for the advanced piano student: permission of instructor is required.",MUSC+250.02,n/a,Loren B Fishman,MUSC,"2 credits, S/CR/NC only",n/a,50
384,18WI,,Arts Practice,,,,Piano,2,"Applied study on the instrument, with attention to both musical and technical development. Students will study appropriate works from the Baroque, Classical, Romantic, and Modern periods, with special reference to a composer's individual notation, technical challenges and stylistic interpretation. Music 250 is intended for the advanced piano student: permission of instructor is required.",MUSC+250.03,n/a,Matthew  McCright,MUSC,"2 credits, S/CR/NC only",n/a,50
385,18WI,,Arts Practice,,,,Piano,1,"Applied study on the instrument, with attention to both musical and technical development. Students will study appropriate works from the Baroque, Classical, Romantic, and Modern periods, with special reference to a composer's individual notation, technical challenges and stylistic interpretation. Music 250 is intended for the advanced piano student: permission of instructor is required.",MUSC+250.04,n/a,Marcia  Widman,MUSC,"2 credits, S/CR/NC only",n/a,50
386,18WI,,Arts Practice,,,,Piano+(Juried),0,"Applied study on the instrument, with attention to both musical and technical development. Students will study appropriate works from the Baroque, Classical, Romantic, and Modern periods, with special reference to a composer's individual notation, technical challenges and stylistic interpretation. Music 250 is intended for the advanced piano student: permission of instructor is required.",MUSC+250J.00,n/a,"Staff, Nikki Melville",MUSC,2 credits,n/a,50
387,18WI,,Arts Practice,,,,Piano+(Juried),8,"Applied study on the instrument, with attention to both musical and technical development. Students will study appropriate works from the Baroque, Classical, Romantic, and Modern periods, with special reference to a composer's individual notation, technical challenges and stylistic interpretation. Music 250 is intended for the advanced piano student: permission of instructor is required.",MUSC+250J.01,n/a,Nikki Melville,MUSC,2 credits,n/a,50
388,18WI,,Arts Practice,,,,Piano+(Juried),4,"Applied study on the instrument, with attention to both musical and technical development. Students will study appropriate works from the Baroque, Classical, Romantic, and Modern periods, with special reference to a composer's individual notation, technical challenges and stylistic interpretation. Music 250 is intended for the advanced piano student: permission of instructor is required.",MUSC+250J.02,n/a,Loren B Fishman,MUSC,2 credits,n/a,50
389,18WI,,Arts Practice,,,,Piano+(Juried),8,"Applied study on the instrument, with attention to both musical and technical development. Students will study appropriate works from the Baroque, Classical, Romantic, and Modern periods, with special reference to a composer's individual notation, technical challenges and stylistic interpretation. Music 250 is intended for the advanced piano student: permission of instructor is required.",MUSC+250J.03,n/a,Matthew  McCright,MUSC,2 credits,n/a,50
390,18WI,,Arts Practice,,,,Piano+(Juried),1,"Applied study on the instrument, with attention to both musical and technical development. Students will study appropriate works from the Baroque, Classical, Romantic, and Modern periods, with special reference to a composer's individual notation, technical challenges and stylistic interpretation. Music 250 is intended for the advanced piano student: permission of instructor is required.",MUSC+250J.04,n/a,Marcia  Widman,MUSC,2 credits,n/a,50
391,18WI,,Arts Practice,,,,Voice,0,"A study of voice production, breathing, tone development, diction, and pronunciation. Selection (according to the individual voice) of Italian, German, French, and English songs of the Classic, Romantic, and Modern periods. Arias and songs from operas, oratorios, musical theater and popular songs from Western and non-Western traditions. In addition, one studio class per week. Prerequisite: Music 151 or permission of the instructor.",MUSC+251.00,n/a,"Staff, Rick A Penning",MUSC,"2 credits, S/CR/NC only",n/a,50
392,18WI,4.1,Arts Practice,,,,Voice,3,"A study of voice production, breathing, tone development, diction, and pronunciation. Selection (according to the individual voice) of Italian, German, French, and English songs of the Classic, Romantic, and Modern periods. Arias and songs from operas, oratorios, musical theater and popular songs from Western and non-Western traditions. In addition, one studio class per week. Prerequisite: Music 151 or permission of the instructor.",MUSC+251.02,n/a,Ben Allen,MUSC,"2 credits, S/CR/NC only",n/a,50
393,18WI,,Arts Practice,,,,Voice,1,"A study of voice production, breathing, tone development, diction, and pronunciation. Selection (according to the individual voice) of Italian, German, French, and English songs of the Classic, Romantic, and Modern periods. Arias and songs from operas, oratorios, musical theater and popular songs from Western and non-Western traditions. In addition, one studio class per week. Prerequisite: Music 151 or permission of the instructor.",MUSC+251.04,n/a,Victoria A Vargas,MUSC,"2 credits, S/CR/NC only",n/a,50
394,18WI,,Arts Practice,,,,Voice,1,"A study of voice production, breathing, tone development, diction, and pronunciation. Selection (according to the individual voice) of Italian, German, French, and English songs of the Classic, Romantic, and Modern periods. Arias and songs from operas, oratorios, musical theater and popular songs from Western and non-Western traditions. In addition, one studio class per week. Prerequisite: Music 151 or permission of the instructor.",MUSC+251.05,n/a,Rick A Penning,MUSC,"2 credits, S/CR/NC only",n/a,50
395,18WI,,Arts Practice,,,,Voice+(Juried),0,"A study of voice production, breathing, tone development, diction, and pronunciation. Selection (according to the individual voice) of Italian, German, French, and English songs of the Classic, Romantic, and Modern periods. Arias and songs from operas, oratorios, musical theater and popular songs from Western and non-Western traditions. In addition, one studio class per week. Prerequisite: Music 151 or permission of the instructor.",MUSC+251J.00,n/a,"Staff, Rick A Penning",MUSC,2 credits,n/a,50
396,18WI,4.1,Arts Practice,,,,Voice+(Juried),5,"A study of voice production, breathing, tone development, diction, and pronunciation. Selection (according to the individual voice) of Italian, German, French, and English songs of the Classic, Romantic, and Modern periods. Arias and songs from operas, oratorios, musical theater and popular songs from Western and non-Western traditions. In addition, one studio class per week. Prerequisite: Music 151 or permission of the instructor.",MUSC+251J.02,n/a,Ben Allen,MUSC,2 credits,n/a,50
397,18WI,,Arts Practice,,,,Voice+(Juried),7,"A study of voice production, breathing, tone development, diction, and pronunciation. Selection (according to the individual voice) of Italian, German, French, and English songs of the Classic, Romantic, and Modern periods. Arias and songs from operas, oratorios, musical theater and popular songs from Western and non-Western traditions. In addition, one studio class per week. Prerequisite: Music 151 or permission of the instructor.",MUSC+251J.04,n/a,Victoria A Vargas,MUSC,2 credits,n/a,50
398,18WI,,Arts Practice,,,,Voice+(Juried),4,"A study of voice production, breathing, tone development, diction, and pronunciation. Selection (according to the individual voice) of Italian, German, French, and English songs of the Classic, Romantic, and Modern periods. Arias and songs from operas, oratorios, musical theater and popular songs from Western and non-Western traditions. In addition, one studio class per week. Prerequisite: Music 151 or permission of the instructor.",MUSC+251J.05,n/a,Rick A Penning,MUSC,2 credits,n/a,50
399,18WI,,Arts Practice,,,,Guitar,3,"Studies for the development of technique appropriate to the needs of the student. Music is chosen from all musical periods including folk picking, blues, ragtime, popular and classical styles. Students with no prior experience or lessons should take one term of class guitar (Music 197).",MUSC+252.00,n/a,Mark  Kreitzer,MUSC,"2 credits, S/CR/NC only",n/a,50
400,18WI,,Arts Practice,,,,Guitar+(Juried),0,"Studies for the development of technique appropriate to the needs of the student. Music is chosen from all musical periods including folk picking, blues, ragtime, popular and classical styles. Students with no prior experience or lessons should take one term of class guitar (Music 197).",MUSC+252J.00,n/a,Mark  Kreitzer,MUSC,2 credits,n/a,50
401,18WI,4,Arts Practice,,,,Composition+(Juried),1,"dividual instruction focusing on the student's original compositions. Course work includes the study of compositional techniques, analysis of relevant works, and computer/MIDI/synthesizer technologies. The course is particularly directed toward the major who wishes to pursue the composition option in the Senior Integrative Exercise.",MUSC+253J.00,n/a,Andrea  Mazzariello,MUSC,2 credits,n/a,20
402,18WI,3.33,Arts Practice,,,,Violin,0,,MUSC+255.00,n/a,"Staff, Hector L Valdivia",MUSC,"2 credits, S/CR/NC only",n/a,50
403,18WI,3.33,Arts Practice,,,,Violin,0,,MUSC+255.01,n/a,Hector L Valdivia,MUSC,"2 credits, S/CR/NC only",n/a,50
404,18WI,,Arts Practice,,,,Violin,2,,MUSC+255.02,n/a,Liz Ericksen,MUSC,"2 credits, S/CR/NC only",n/a,50
405,18WI,,Arts Practice,,,,Violin,3,,MUSC+255.04,n/a,Susan M Crawford,MUSC,"2 credits, S/CR/NC only",n/a,50
406,18WI,3.33,Arts Practice,,,,Violin+(Juried),0,,MUSC+255J.00,n/a,"Staff, Hector L Valdivia",MUSC,2 credits,n/a,50
407,18WI,3.33,Arts Practice,,,,Violin+(Juried),3,,MUSC+255J.01,n/a,Hector L Valdivia,MUSC,2 credits,n/a,50
408,18WI,,Arts Practice,,,,Violin+(Juried),0,,MUSC+255J.02,n/a,Liz Ericksen,MUSC,2 credits,n/a,50
409,18WI,,Arts Practice,,,,Violin+(Juried),0,,MUSC+255J.04,n/a,Susan M Crawford,MUSC,2 credits,n/a,50
410,18WI,3.33,Arts Practice,,,,Viola,0,,MUSC+256.00,n/a,"Staff, Hector L Valdivia",MUSC,"2 credits, S/CR/NC only",n/a,50
411,18WI,3.33,Arts Practice,,,,Viola,0,,MUSC+256.01,n/a,Hector L Valdivia,MUSC,"2 credits, S/CR/NC only",n/a,50
412,18WI,,Arts Practice,,,,Viola,1,,MUSC+256.02,n/a,Liz Ericksen,MUSC,"2 credits, S/CR/NC only",n/a,50
413,18WI,3.33,Arts Practice,,,,Viola+(Juried),0,,MUSC+256J.00,n/a,"Staff, Hector L Valdivia",MUSC,2 credits,n/a,50
414,18WI,3.33,Arts Practice,,,,Viola+(Juried),0,,MUSC+256J.01,n/a,Hector L Valdivia,MUSC,2 credits,n/a,50
415,18WI,,Arts Practice,,,,Viola+(Juried),2,,MUSC+256J.02,n/a,Liz Ericksen,MUSC,2 credits,n/a,50
416,18WI,,Arts Practice,,,,Cello,5,,MUSC+257.00,n/a,Thomas  Rosenberg,MUSC,"2 credits, S/CR/NC only",n/a,50
417,18WI,,Arts Practice,,,,Cello,0,,MUSC+257.01,n/a,Zachery W Pelletier,MUSC,"2 credits, S/CR/NC only",n/a,50
418,18WI,,Arts Practice,,,,Cello+(Juried),3,,MUSC+257J.00,n/a,Thomas  Rosenberg,MUSC,2 credits,n/a,50
419,18WI,,Arts Practice,,,,Cello+(Juried),0,,MUSC+257J.01,n/a,Zachery W Pelletier,MUSC,2 credits,n/a,50
420,18WI,,Arts Practice,,,,Classical+String+Bass,0,The study of the acoustic string bass in the Classical style.,MUSC+258.00,n/a,Connie Martin,MUSC,"2 credits, S/CR/NC only",n/a,50
421,18WI,,Arts Practice,,,,Classical+String+Bass+(Juried),0,The study of the acoustic string bass in the Classical style.,MUSC+258J.00,n/a,Connie Martin,MUSC,2 credits,n/a,50
422,18WI,,Arts Practice,,,,Flute,0,,MUSC+259.00,n/a,Martha N Jamsa,MUSC,"2 credits, S/CR/NC only",n/a,50
423,18WI,,Arts Practice,,,,Flute+(Juried),1,,MUSC+259J.00,n/a,Martha N Jamsa,MUSC,2 credits,n/a,50
424,18WI,,Arts Practice,,,,Oboe/English+Horn,0,,MUSC+260.01,n/a,Merilee I Klemp,MUSC,"2 credits, S/CR/NC only",n/a,50
425,18WI,,Arts Practice,,,,Oboe/English+Horn,0,,MUSC+260.02,n/a,Merilee I Klemp,MUSC,"2 credits, S/CR/NC only",n/a,50
426,18WI,,Arts Practice,,,,Oboe/English+Horn+(Juried),1,,MUSC+260J.01,n/a,Merilee I Klemp,MUSC,2 credits,n/a,50
427,18WI,,Arts Practice,,,,Oboe/English+Horn+(Juried),0,,MUSC+260J.02,n/a,Merilee I Klemp,MUSC,2 credits,n/a,50
428,18WI,,Arts Practice,,,,Clarinet,0,,MUSC+261.00,n/a,Nina E Olsen,MUSC,"2 credits, S/CR/NC only",n/a,50
429,18WI,,Arts Practice,,,,Clarinet+(Juried),0,,MUSC+261J.00,n/a,Nina E Olsen,MUSC,2 credits,n/a,50
430,18WI,,Arts Practice,,,,Saxophone,0,,MUSC+262.00,n/a,Greg Keel,MUSC,"2 credits, S/CR/NC only",n/a,50
431,18WI,,Arts Practice,,,,Saxophone+(Juried),0,,MUSC+262J.00,n/a,Greg Keel,MUSC,2 credits,n/a,50
432,18WI,,Arts Practice,,,,Bassoon,0,,MUSC+263.00,n/a,Ann  Pesavento,MUSC,"2 credits, S/CR/NC only",n/a,50
433,18WI,,Arts Practice,,,,Bassoon+(Juried),0,,MUSC+263J.00,n/a,Ann  Pesavento,MUSC,2 credits,n/a,50
434,18WI,5,Arts Practice,,,,French+Horn,0,,MUSC+264.00,n/a,Gwen M Anderson,MUSC,"2 credits, S/CR/NC only",n/a,50
435,18WI,5,Arts Practice,,,,French+Horn+(Juried),0,,MUSC+264J.00,n/a,Gwen M Anderson,MUSC,2 credits,n/a,50
436,18WI,,Arts Practice,,,,Trumpet,0,,MUSC+265.00,n/a,Lynn B Deichert,MUSC,"2 credits, S/CR/NC only",n/a,50
437,18WI,,Arts Practice,,,,Trumpet+(Juried),1,,MUSC+265J.00,n/a,Lynn B Deichert,MUSC,2 credits,n/a,50
438,18WI,4.67,Arts Practice,,,,Trombone,0,,MUSC+266.01,n/a,Ronald  Rodman,MUSC,"2 credits, S/CR/NC only",n/a,50
439,18WI,4.67,Arts Practice,,,,Trombone,0,,MUSC+266.02,n/a,Ronald  Rodman,MUSC,"2 credits, S/CR/NC only",n/a,50
440,18WI,4.67,Arts Practice,,,,Trombone+(Juried),0,,MUSC+266J.01,n/a,Ronald  Rodman,MUSC,2 credits,n/a,50
441,18WI,4.67,Arts Practice,,,,Trombone+(Juried),0,,MUSC+266J.02,n/a,Ronald  Rodman,MUSC,2 credits,n/a,50
442,18WI,4.67,Arts Practice,,,,Tuba,0,,MUSC+267.00,n/a,Ronald  Rodman,MUSC,"2 credits, S/CR/NC only",n/a,50
443,18WI,4.67,Arts Practice,,,,Tuba+(Juried),0,,MUSC+267J.00,n/a,Ronald  Rodman,MUSC,2 credits,n/a,50
444,18WI,,Arts Practice,,,,Orchestral+Percussion,0,,MUSC+268.00,n/a,Jay L Johnson,MUSC,"2 credits, S/CR/NC only",n/a,50
445,18WI,,Arts Practice,,,,Orchestral+Percussion+(Juried),0,,MUSC+268J.00,n/a,Jay L Johnson,MUSC,2 credits,n/a,50
446,18WI,,Arts Practice,,,,Harp,0,,MUSC+269.00,n/a,Elinor  Niemisto,MUSC,"2 credits, S/CR/NC only",n/a,50
447,18WI,,Arts Practice,,,,Harp+(Juried),0,,MUSC+269J.00,n/a,Elinor  Niemisto,MUSC,2 credits,n/a,50
448,18WI,,Arts Practice,,,,Harpsichord,0,,MUSC+270.00,n/a,Janean A Hall,MUSC,"2 credits, S/CR/NC only",n/a,50
449,18WI,,Arts Practice,,,,Harpsichord+(Juried),0,,MUSC+270J.00,n/a,Janean A Hall,MUSC,2 credits,n/a,50
450,18WI,,Arts Practice,,,,Organ,0,Basic piano skills required.,MUSC+271.00,n/a,Janean A Hall,MUSC,"2 credits, S/CR/NC only",n/a,50
451,18WI,,Arts Practice,,,,Organ+(Juried),0,Basic piano skills required.,MUSC+271J.00,n/a,Janean A Hall,MUSC,2 credits,n/a,50
452,18WI,,Arts Practice,,,,Oud,1,Advanced study of the Arab oud. Instruments are provided. Instructor's permission required.,MUSC+272.00,n/a,Yaron  Klein,MUSC,"2 credits, S/CR/NC only",n/a,25
453,18WI,,Arts Practice,,,,Oud,0,Advanced study of the Arab oud. Instruments are provided. Instructor's permission required.,MUSC+272J.00,n/a,Yaron  Klein,MUSC,2 credits,n/a,25
454,18WI,4.6,Arts Practice,,,,Recorder,0,,MUSC+274.00,n/a,Mark  Krusemeyer,MUSC,"2 credits, S/CR/NC only",n/a,50
455,18WI,4.6,Arts Practice,,,,Recorder+(Juried),0,,MUSC+274J.00,n/a,Mark  Krusemeyer,MUSC,2 credits,n/a,50
456,18WI,,Arts Practice,,,,Jazz+Piano,0,"Study the tools for learning the jazz ""language."" Learn to improvise through scale and mode study, transcription, and composition. Turn chord symbols into chord voicings and accompaniment. Explore the blues, jazz ""standards,"" and today's music. Three years piano required. Materials: staff paper, The Real Book, vol. 1, or similar fake book, and the app iReal Pro.",MUSC+275.00,n/a,Laura  Caviani,MUSC,"2 credits, S/CR/NC only",n/a,50
457,18WI,,Arts Practice,,,,Jazz+Piano+(Juried),2,"Study the tools for learning the jazz ""language."" Learn to improvise through scale and mode study, transcription, and composition. Turn chord symbols into chord voicings and accompaniment. Explore the blues, jazz ""standards,"" and today's music. Three years piano required. Materials: staff paper, The Real Book, vol. 1, or similar fake book, and the app iReal Pro.",MUSC+275J.00,n/a,Laura  Caviani,MUSC,2 credits,n/a,50
458,18WI,,Arts Practice,,,,Electric+&+Acoustic+Bass,0,"The study of either electric bass guitar or acoustic string bass in all contemporary styles including rock, jazz, pop, rap, and reggae.",MUSC+276.00,n/a,Travis J Schilling,MUSC,"2 credits, S/CR/NC only",n/a,50
459,18WI,,Arts Practice,,,,Electric+&+Acoustic+Bass+(Juried),0,"The study of either electric bass guitar or acoustic string bass in all contemporary styles including rock, jazz, pop, rap, and reggae.",MUSC+276J.00,n/a,Travis J Schilling,MUSC,2 credits,n/a,50
460,18WI,,Arts Practice,,,,Jazz+and+Blues+Guitar,0,"Study of chord voicings, accompanimental techniques, and solo guitar performance in the jazz idiom. Prerequisites: previous study of guitar and the ability to read music, or the permission of the instructor. Students must provide their own instruments.",MUSC+277.00,n/a,Zacc  Harris,MUSC,"2 credits, S/CR/NC only",n/a,50
461,18WI,,Arts Practice,,,,Jazz+&+Blues+Guitar+(Juried),1,"Study of chord voicings, accompanimental techniques, and solo guitar performance in the jazz idiom. Prerequisites: previous study of guitar and the ability to read music, or the permission of the instructor. Students must provide their own instruments.",MUSC+277J.00,n/a,Zacc  Harris,MUSC,2 credits,n/a,50
462,18WI,,Arts Practice,,,,Drum+Set+Instruction,1,Drum Set Instruction on/in jazz and popular drumming styles which use the standard drum set. Equipment available for registered students.,MUSC+278.00,n/a,Jay L Johnson,MUSC,"2 credits, S/CR/NC only",n/a,50
463,18WI,,Arts Practice,,,,Drum+Set+Instruction+(Juried),0,Drum Set Instruction on/in jazz and popular drumming styles which use the standard drum set. Equipment available for registered students.,MUSC+278J.00,n/a,Jay L Johnson,MUSC,2 credits,n/a,50
464,18WI,,Arts Practice,,,,Jazz+Improvisation,0,"The study of the basic grammar and syntax of jazz improvisation styles, including transcribing solos, chord/scale materials and melodic patterns.",MUSC+279.00,n/a,Laura  Caviani,MUSC,"2 credits, S/CR/NC only",n/a,50
465,18WI,,Arts Practice,,,,Jazz+Improvisation+(Juried),1,"The study of the basic grammar and syntax of jazz improvisation styles, including transcribing solos, chord/scale materials and melodic patterns.",MUSC+279J.00,n/a,Laura  Caviani,MUSC,2 credits,n/a,50
466,18WI,,Arts Practice,,,,Raga:+Vocal+or+Instrumental+Study+of+Hindustani+Music,1,"Beginning, intermediate, and advanced students of voice, guitar, violin, flute, clarinet, etc., approach raga from their current level of musicianship. In all cases, traditional practical instruction is complemented by some theoretical and philosophical exploration of the underpinnings of the music.",MUSC+280.00,n/a,David S Whetstone,MUSC,"2 credits, S/CR/NC only",n/a,50
467,18WI,,Arts Practice,,,,Raga:Voc/Instr+Study+Hindustani+(Juried),0,"Beginning, intermediate, and advanced students of voice, guitar, violin, flute, clarinet, etc., approach raga from their current level of musicianship. In all cases, traditional practical instruction is complemented by some theoretical and philosophical exploration of the underpinnings of the music.",MUSC+280J.00,n/a,David S Whetstone,MUSC,2 credits,n/a,50
468,18WI,,Arts Practice,,,,Sitar,2,Beginning through advanced study of sitar in the gayaki ang style of Ustad Vilayat Khan. Previous musical experience is not necessary. Sitars are provided.,MUSC+281.00,n/a,David S Whetstone,MUSC,"2 credits, S/CR/NC only",n/a,50
469,18WI,,Arts Practice,,,,Sitar+(Juried),0,Beginning through advanced study of sitar in the gayaki ang style of Ustad Vilayat Khan. Previous musical experience is not necessary. Sitars are provided.,MUSC+281J.00,n/a,David S Whetstone,MUSC,2 credits,n/a,50
470,18WI,,Arts Practice,,,,Chinese+Musical+Instruments,0,"Beginning through advanced study on traditional Chinese instruments, pipa (Chinese lute), erhu (Chinese violin), guzheng (Chinese zither), zhongruan (Chinese moon guitar), hulusi, bawu and dizi (Chinese bamboo flutes).",MUSC+282.00,n/a,Gao Hong,MUSC,"2 credits, S/CR/NC only",n/a,50
471,18WI,,Arts Practice,,,,Chinese+Musical+Instruments+(Juried),9,"Beginning through advanced study on traditional Chinese instruments, pipa (Chinese lute), erhu (Chinese violin), guzheng (Chinese zither), zhongruan (Chinese moon guitar), hulusi, bawu and dizi (Chinese bamboo flutes).",MUSC+282J.00,n/a,Gao Hong,MUSC,2 credits,n/a,50
472,18WI,,Arts Practice,,,,Ethnic+Drumming+Instruction,1,"Ethnic drumming instruction in various ethnic drumming styles including West African (Ghanaian instruments), Cuban (congas), North Indian (tabla) and Middle Eastern (dumbek). Equipment available for registered students.",MUSC+283.00,n/a,Jay L Johnson,MUSC,"2 credits, S/CR/NC only",n/a,50
473,18WI,,Arts Practice,,,,Ethnic+Drumming+Instruction+(Juried),0,"Ethnic drumming instruction in various ethnic drumming styles including West African (Ghanaian instruments), Cuban (congas), North Indian (tabla) and Middle Eastern (dumbek). Equipment available for registered students.",MUSC+283J.00,n/a,Jay L Johnson,MUSC,2 credits,n/a,50
474,18WI,,Arts Practice,,,,American+Folk+Instruments,1,"Beginning to advanced study of technique and improvisational styles on American folk instruments. Students may study 5-string banjo (bluegrass or clawhammer style), bluegrass guitar, Dobro©, fiddle (violin, viola, cello), bass, ukulele, mandolin, mandola or mandocello. The Music Department has a single mandolin, fiddle, banjo, and guitar (and two ukuleles) available for shared use by enrolled students unable to provide their own instruments.",MUSC+284.00,n/a,Mark  Kreitzer,MUSC,"2 credits, S/CR/NC only",n/a,50
475,18WI,,Arts Practice,,,,American+Folk+Instrument+(Juried),1,"Beginning to advanced study of technique and improvisational styles on American folk instruments. Students may study 5-string banjo (bluegrass or clawhammer style), bluegrass guitar, Dobro©, fiddle (violin, viola, cello), bass, ukulele, mandolin, mandola or mandocello. The Music Department has a single mandolin, fiddle, banjo, and guitar (and two ukuleles) available for shared use by enrolled students unable to provide their own instruments.",MUSC+284J.00,n/a,Mark  Kreitzer,MUSC,2 credits,n/a,50
476,18WI,4.1,Arts Practice,,,,Recital,1,"A public music recital of a minimum of thirty minutes of solo performance (some chamber music may be included). Students enrolling in 299 do so in lieu of registering for applied lessons; 299 includes nine one-hour lessons. Normally 299 would be taken in the junior or senior year, and is repeatable one time. Fees and financial aid for 299 are the same as for two-credit applied lessons.",MUSC+299.00,n/a,Ben Allen,MUSC,3 credits,n/a,30
477,18WI,,Arts Practice,,,,Carleton+Choir,41,"The Carleton Choir, the cornerstone of the choral program, is a select mixed chorus of Carleton students. Each term, the ensemble presents a concert of short and extended works from the large bodies of classical, ethnic and cultural repertories, including works for mixed, treble and tenor-bass voices. Concerts are sometimes repeated off campus. Students must have good vocal skills, music reading ability, and a high degree of interest in performing quality choral music. Admission is by audition.",MUSC+185.00,6:00pm,Matthew J Olson,MUSC,"1 credit, S/CR/NC only",4:30pm,50
478,18WI,3.33,Arts Practice,,,,Carleton+Orchestra,59,"The Carleton Orchestra performs large symphonic masterpieces, such as Beethoven, Stravinsky and Bernstein. Concerti with students and faculty soloists, and smaller works for string and wind ensembles are also performed. Occasional sight-reading sessions. Admission by audition.",MUSC+187.00,8:00pm,Hector L Valdivia,MUSC,"1 credit, S/CR/NC only",6:30pm,100
479,18WI,,Arts Practice,International Studies,,,Carleton+Chinese+Music+Ensemble,17,The ensemble will use indigenous instruments and a Chinese approach to musical training in order to learn and perform music from China.,MUSC+188.00,5:30pm,Gao Hong,MUSC,"1 credit, S/CR/NC only",4:30pm,30
480,18WI,4.67,Arts Practice,,,,Carleton+Symphony+Band,24,"The Carleton Symphony Band performs music selected from the standard repertory, including compositions by Holst, Grainger, Nelybel, and Sousa. Regular sight-reading sessions. Admission by audition.",MUSC+189.00,5:00pm,Ronald  Rodman,MUSC,"1 credit, S/CR/NC only",3:30pm,100
481,18WI,,Arts Practice,,,,Carleton+Jazz+Ensemble,13,"The Carleton Jazz Ensemble's focus is on improvisation and the fusion between jazz, rock, funk, and Latin influences. There is no predetermined instrumentation. Rather, the ensemble's size and instrumentation vary each term. String players, vocalists, and any brass or woodwind instrumentalists are welcome to register. The ensemble performs once each term.",MUSC+190.00,8:00pm,Laura  Caviani,MUSC,"1 credit, S/CR/NC only",6:30pm,50
482,18WI,,Arts Practice,International Studies,,,West+African+Drum+Ensemble,9,The ensemble will use indigenous instruments and an African approach to musical training in order to learn and perform rhythms and songs from West Africa.,MUSC+192.00,6:30pm,Jay L Johnson,MUSC,"1 credit, S/CR/NC only",5:30pm,15
483,18WI,,Arts Practice,,,,Chamber+Music,0,"Small groups, formed by at least three students, will participate in the study and performance of keyboard and instrumental chamber music, non-western, or small jazz ensemble repertory, coached weekly by music faculty. Students must be registered and may not audit or participate in more than one group.",MUSC+194.00,n/a,"Nikki Melville, Staff",MUSC,"1 credit, S/CR/NC only",n/a,100
484,18WI,,Arts Practice,,,,Chamber+Music,7,"Small groups, formed by at least three students, will participate in the study and performance of keyboard and instrumental chamber music, non-western, or small jazz ensemble repertory, coached weekly by music faculty. Students must be registered and may not audit or participate in more than one group.",MUSC+194.01,n/a,Thomas  Rosenberg,MUSC,"1 credit, S/CR/NC only",n/a,100
